KOCD2001,Nobunaga no Yabou - Bushou Fuuunroku,Koei,1993,Japan,SuperCDROM2
KOCD3005,Nobunaga no Yabou - Zenkokuban,Koei,1993,Japan,SuperCDROM2
CJCD4004,Pachio-kun III - Pachisuro Pachinko,Coconuts Japan,1994,Japan,SuperCDROM2
CJCD1001,Pachio-kun - Maboroshi no Densetsu,Coconuts Japan,1991,Japan,CDROM2
CJCD2003,Pachio-kun - Warau Uchuu,Coconuts Japan,1992,Japan,SuperCDROM2
PVCD3009,Paradion - Auto Crusher Palladium,Pack-In-Video,1994,Japan,SuperCDROM2
NXCD2018,Pastel Lime,Naxat Soft,1992,Japan,SuperCDROM2
TICD6006,PCEngine Fan Special CD-Rom Volume I,Tokuma Shoten,1996,Japan,SuperCDROM2
HCD2042,PCEngine Hyper Catalog (CD-Rom Capsule),Shogakukan,1992,Japan,SuperCDROM2
SHCD-4008,PCEngine Hyper Catalog Duo-RX - Disc A,Shogakukan,19??,Japan,SuperCDROM2
SHCD-4009,PCEngine Hyper Catalog Duo-RX - Disc B,Shogakukan,19??,Japan,SuperCDROM2
HCD3052,PCEngine Hyper Catalog II,Shogakukan,1993,Japan,SuperCDROM2
HCD3055,PCEngine Hyper Catalog III,Shogakukan,1993,Japan,SuperCDROM2
HCD3056,PCEngine Hyper Catalog IV,Shogakukan,1993,Japan,SuperCDROM2
SHCD-4005,PCEngine Hyper Catalog V,Shogakukan,1994,Japan,SuperCDROM2
SHCD-40006,PCEngine Hyper Catalog VI - Disc A,Shogakukan,1994,Japan,SuperCDROM2
SHCD-4007,PCEngine Hyper Catalog VI - Disc B,Shogakukan,1994,Japan,SuperCDROM2
TJCD3036,Police Connection,Nihon Telenet,1993,Japan,SuperCDROM2
HCD1019,Pomping World,Hudson,1991,Japan,CDROM2
TJCD2027,Pop'n Magic,Nihon Telenet,1992,Japan,SuperCDROM2
HCD1021,Populous - The Promised Lands,Hudson,1991,Japan,SuperCDROM2
RHCD1002,Prince of Persia,Riverhill Software,1991,Japan,SuperCDROM2
HECD4015,Princess Maker 1,NEC Home Electronics,1995,Japan,SuperCDROM2
HECD5020,Princess Maker 2,NEC Home Electronics,1995,Japan,ArcadeCDROM2
RHCD-4008,Princess Minerva,Riverhill Software,1994,Japan,SuperCDROM2
HECD5019,Private eye dol,NEC Home Electronics,1995,Japan,ArcadeCDROM2
DWCD2003,Psychic Detective Series Vol. III - Aya,DataWest,1992,Japan,SuperCDROM2
DWCD3004,Psychic Detective Series Vol. IV - Orgel,DataWest,1993,Japan,SuperCDROM2
TJCD2025,Psychic Storm,Nihon Telenet,1992,Japan,SuperCDROM2
NAPR-1038,Puyo Puyo CD,NEC Avenue,1994,Japan,SuperCDROM2
NIPR-1001,Puyo Puyo CD Tsuu,NEC Interchannel,1996,Japan,SuperCDROM2
NAPR-1013,Quiz Avenue,NEC Avenue,1991,Japan,CDROM2
NAPR-1024,Quiz Avenue II,NEC Avenue,1991,Japan,CDROM2
NAPR-1040,Quiz Avenue III,NEC Avenue,1994,Japan,SuperCDROM2
HCD3047,Quiz Caravan Cult Q,Hudson,1993,Japan,CDROM2
NXCD3026,Quiz de Gakuensai,Naxat Soft,1993,Japan,SuperCDROM2
ATCD1001,Quiz Marugoto the World,Atlus,1991,Japan,CDROM2
ATCD2003,Quiz Marugoto The World II - Time Machine ni Onegai!,Atlus,1992,Japan,CDROM2
SSCD2002,Quiz no Hoshi,Sunsoft,1992,Japan,SuperCDROM2
HCD2038,Quiz Tonosama no Yabou,Hudson,1992,Japan,CDROM2
ICCD1001,R-Type Complete CD,Irem,1991,Japan,SuperCDROM2
NAPR-1012,Rainbow Islands,NEC Avenue,1993,Japan,CDROM2
NSCD0004,Ranma ½,NCS,1990,Japan,CDROM2
NSCD2009,Ranma ½ - Datou Ganso Musabetsu Kakutou-Ryuu!,NCS,1992,Japan,SuperCDROM2
NSCD1006,Ranma ½ - Toraware no Hanayome,NCS,1991,Japan,CDROM2
DWCD1001,Rayxanber II,DataWest,1991,Japan,CDROM2
DWCD2002,Rayxanber III,DataWest,1992,Japan,SuperCDROM2
TJCD9004,Red Alert,Nihon Telenet,1989,Japan,CDROM2
NAPR-1044,Renny Blaster,NEC Avenue,1995,Japan,SuperCDROM2
JCCD2006,Rising Sun,Victor Entertainment,1992,Japan,CDROM2
PVCD-1003,Road Spirits,Pack-In-Video,1991,Japan,CDROM2
HRCD-9101,Rom² Karaoke - Volume I,NEC Avenue,1989,Japan,CDROM2
JCCD9501,Rom² Karaoke - Volume I - Suteki ni Standard,Victor Musical Industries,1990,Japan,CDROM2
HRCD-9102,Rom² Karaoke - Volume II,NEC Avenue,1989,Japan,CDROM2
JCCD9502,Rom² Karaoke - Volume II - Nattoku Idol,Victor Musical Industries,1990,Japan,CDROM2
HRCD-9103,Rom² Karaoke - Volume III,NEC Avenue,1989,Japan,CDROM2
JCCD9503,Rom² Karaoke - Volume III - Yappashi Band,Victor Musical Industries,1990,Japan,CDROM2
HRCD-9104,Rom² Karaoke - Volume IV,NEC Avenue,1990,Japan,CDROM2
JCCD9504,Rom² Karaoke - Volume IV - Choito Otona!,Victor Musical Industries,1990,Japan,CDROM2
HRCD-9105,Rom² Karaoke - Volume V,NEC Avenue,1990,Japan,CDROM2
JCCD9505,Rom² Karaoke - Volume V - Maku no Uchi,Victor Musical Industries,1990,Japan,CDROM2
NSCD9001,Rom Rom Stadium,NCS,1989,Japan,CDROM2
JCCD3013,Ruin - Kami no Isan,Victor Entertainment,1993,Japan,SuperCDROM2
HCD4061,Ryuuko no Ken,Hudson,1994,Japan,ArcadeCDROM2
NXCD0002,Sangokushi Eiketsu - Tenka ni Nozomu,Naxat Soft,1991,Japan,CDROM2
KOCD3003,Sangokushi III,Koei,1993,Japan,SuperCDROM2
NXCD1004,Seirei Senshi Spriggan,Naxat Soft,1991,Japan,CDROM2
HCD1018,Seiryuu Densetsu Monbit,Hudson,1991,Japan,CDROM2
NBCD4005,Seisenshi Denshou - Jantaku no Kishi,Nichibutsu,1994,Japan,SuperCDROM2
HCD5071,Seiya Monogatari - Anearth Fantasy Stories,Hudson,1995,Japan,SuperCDROM2
HMD-004,Seiya Monogatari - Anearth Fantasy Stories Taikenban,Hudson,1995,Japan,SuperCDROM2
IGCD1002,Sengoku Kantou Sangokushi,Intec,1991,Japan,CDROM2
NBCD3004,Sexy Idol Mahjong,Nichibutsu,1993,Japan,SuperCDROM2
NBCD4006,Sexy Idol Mahjong - Fashion Monogatari,Nichibutsu,1994,Japan,ArcadeCDROM2
NBCD4007,Sexy Idol Mahjong - Yakyuuken no Uta [Imperfect],Nichibutsu,1995,Japan,SuperCDROM2
JCCD2008,Shadow of the Beast - Majou no Okite,Victor Entertainment,1992,Japan,SuperCDROM2
HCD0010,Shanghai II,Hudson,1990,Japan,CDROM2
AKCD2002,Shanghai III - Dragon's Eye,ASK Kodansha,1992,Japan,CDROM2
JCCD2011,Shapeshifter - Makai Eiyuu Den,Victor Entertainment,1992,Japan,SuperCDROM2
JCCD1004,Sherlock Holmes no Tantei Kouza,Victor Entertainment,1991,Japan,CDROM2
JCCD3012,Sherlock Holmes no Tantei Kouza II,Victor Entertainment,1993,Japan,CDROM2
,Shiawase Usagi - Nureta Bishoujo Ichi Hajimete na no ni [Imperfect],<unknown>,19??,Japan,SuperCDROM2
,Shiawase Usagi II - Toraware Usagi Sailor Z,<unknown>,1995,Japan,SuperCDROM2
ATCD3006,Shin Megami Tensei,Atlus,1993,Japan,SuperCDROM2
FCCD5003,Shin Onryou Senki,Fujicom,1995,Japan,SuperCDROM2
